parameter_mapping,parameter_name,parameter_description,parameter_id,description
302,44860,Equipment Model,IMPC_GEP_068_001,"Equipment Model equipment_model, "
303,44861,Fixative,IMPC_GEP_069_001,"Fixative fixative, "
304,44862,Time of Dissection,IMPC_GEP_070_001,"Time of Dissection time_of_dissection, "
305,44863,Somite Stage,IMPC_GEP_071_001,"Somite Stage somite_stage, "
306,44864,Time of dark cycle start,IMPC_GEP_072_001,"Time of dark cycle start time_of_dark_cycle_start, "
307,44865,Time of dark cycle end,IMPC_GEP_073_001,"Time of dark cycle end time_of_dark_cycle_end, "
308,44866,Date equipment last calibrated,IMPC_GEP_074_001,"Date equipment last calibrated date_equipment_last_calibrated, "
309,44867,Spontaneous movement,IMPC_GEP_004_002,"Spontaneous movement no_spontaneous_movement, "
310,44868,Responsive to tactile stimuli,IMPC_GEP_005_002,"Responsive to tactile stimuli unresponsive_to_tactile_stimuli, "
311,44869,Hemorrhage,IMPC_GEP_011_002,"Hemorrhage hemorrhage, "
312,44870,Skin Hemorrhage,IMPC_GEP_012_002,"Skin Hemorrhage skin_hemorrhage, "
313,44871,Facial Cleft,IMPC_GEP_018_002,"Facial Cleft facial_cleft, "
314,44872,Cleft Palate,IMPC_GEP_019_002,"Cleft Palate cleft_palate, "
315,44873,Cyanosis,IMPC_GEP_029_002,"Cyanosis cyanosis, "
316,44874,Edema,IMPC_GEP_030_002,"Edema edema, "
317,44875,Hydrops fetalis (fetal adema),IMPC_GEP_031_002,"Hydrops fetalis (fetal adema) hydrops_fetalis_fetal_adema, "
318,44876,Pallor,IMPC_GEP_035_002,"Pallor pallor, "
319,44877,Polydactyly,IMPC_GEP_039_002,"Polydactyly polydactyly, "
320,44878,Exencephaly,IMPC_GEP_047_002,"Exencephaly exencephaly, "
321,44879,Holoprosencephaly,IMPC_GEP_048_002,"Holoprosencephaly holoprosencephaly, "
322,44880,spina bifida,IMPC_GEP_049_002,"spina bifida spina_bifida, "
323,44881,Respiratory Failure,IMPC_GEP_055_002,"Respiratory Failure respiratory_failure, "
324,44882,Microphthalmia,IMPC_GEP_059_002,"Microphthalmia microphthalmia, "
325,44883,Anophthalmia,IMPC_GEP_060_002,"Anophthalmia anophthalmia, "
326,44884,Failure of Eyelid Fusion,IMPC_GEP_061_002,"Failure of Eyelid Fusion failure_of_eyelid_fusion, "
327,44885,Severely Dysmorphic,IMPC_GEP_075_001,"Severely Dysmorphic NA, "
328,73074,Embryo reconstruction,IMPC_EMA_001_001,"Embryo reconstruction , "
329,73075,Experimenter ID,IMPC_EMA_002_001,"Experimenter ID NA, "
330,73076,Equipment ID,IMPC_EMA_003_001,"Equipment ID NA, "
331,73077,Equipment Manufacturer,IMPC_EMA_004_001,"Equipment Manufacturer NA, "
332,73078,Equipment Model,IMPC_EMA_005_001,"Equipment Model NA, "
333,73079,Equipment Version,IMPC_EMA_006_001,"Equipment Version NA, "
334,73080,Image Pixel Size,IMPC_EMA_007_001,"Image Pixel Size NA, "
335,73081,E18.5 MicroCT Preparation protocol,IMPC_EMA_008_001,"E18.5 MicroCT Preparation protocol NA, "
336,73082,Date equipment last calibrated,IMPC_EMA_009_001,"Date equipment last calibrated NA, "
337,73083,Date of Sacrifice,IMPC_EMA_010_001,"Date of Sacrifice NA, "
338,73084,Date Preparation Finished,IMPC_EMA_011_001,"Date Preparation Finished NA, "
339,73085,Date of Scan,IMPC_EMA_012_001,"Date of Scan NA, "
340,73086,Source Voltage,IMPC_EMA_013_001,"Source Voltage NA, "
341,73087,Source Current,IMPC_EMA_014_001,"Source Current NA, "
342,73088,Object to Source,IMPC_EMA_015_001,"Object to Source NA, "
343,73089,Camera to Source,IMPC_EMA_016_001,"Camera to Source NA, "
344,73090,Screenshots,IMPC_EMA_017_001,"Screenshots , "
345,73091,Limb digits,IMPC_EMA_018_001,"Limb digits , "
346,73092,Tail,IMPC_EMA_019_001,"Tail , "
347,73093,Limbs,IMPC_EMA_020_001,"Limbs , "
348,73094,Pinna,IMPC_EMA_021_001,"Pinna , "
349,73095,Vibrissa,IMPC_EMA_022_001,"Vibrissa , "
350,73096,Edema,IMPC_EMA_023_001,"Edema , "
351,73097,Embryo size,IMPC_EMA_024_001,"Embryo size , "
352,73098,Spinal Cord,IMPC_EMA_025_001,"Spinal Cord , "
353,73099,Spine curvature,IMPC_EMA_026_001,"Spine curvature , "
354,73100,Craniofacial morphology,IMPC_EMA_027_001,"Craniofacial morphology , "
355,73101,Hindbrain subarachnoid space,IMPC_EMA_028_001,"Hindbrain subarachnoid space , "
356,73102,Midbrain roof plate,IMPC_EMA_029_001,"Midbrain roof plate , "
357,73103,Midbrain,IMPC_EMA_030_001,"Midbrain , "
358,73104,Cerebellum,IMPC_EMA_031_001,"Cerebellum , "
359,73105,Cerebral cortex,IMPC_EMA_032_001,"Cerebral cortex , "
360,73106,Thalamus,IMPC_EMA_033_001,"Thalamus , "
361,73107,Corpus striatum,IMPC_EMA_034_001,"Corpus striatum , "
362,73108,Hippocampus,IMPC_EMA_035_001,"Hippocampus , "
363,73109,Hypothalamus,IMPC_EMA_036_001,"Hypothalamus , "
364,73110,Pineal gland,IMPC_EMA_037_001,"Pineal gland , "
365,73111,Pons,IMPC_EMA_038_001,"Pons , "
366,73112,Medulla oblongata,IMPC_EMA_039_001,"Medulla oblongata , "
367,73113,Lateral ventricles,IMPC_EMA_040_001,"Lateral ventricles , "
368,73114,Lateral ventricle choroid plexus,IMPC_EMA_041_001,"Lateral ventricle choroid plexus , "
369,73115,4th ventricle choroid plexus,IMPC_EMA_042_001,"4th ventricle choroid plexus , "
370,73116,4th Ventricle,IMPC_EMA_043_001,"4th Ventricle , "
371,73117,Cerebral aqueduct,IMPC_EMA_044_001,"Cerebral aqueduct , "
372,73118,Median sulcus,IMPC_EMA_045_001,"Median sulcus , "
373,73119,3rd ventricle,IMPC_EMA_046_001,"3rd ventricle , "
374,73120,Olfactory lobe,IMPC_EMA_047_001,"Olfactory lobe , "
375,73121,Trigeminal ganglion,IMPC_EMA_048_001,"Trigeminal ganglion , "
376,73122,Pituitary gland,IMPC_EMA_049_001,"Pituitary gland , "
377,73123,Spinal cord cervical region,IMPC_EMA_050_001,"Spinal cord cervical region , "
378,73124,Dorsal root ganglion,IMPC_EMA_051_001,"Dorsal root ganglion , "
379,73125,Cochlea,IMPC_EMA_052_001,"Cochlea , "
380,73126,Nasal septum,IMPC_EMA_053_001,"Nasal septum , "
381,73127,Nasal cavity,IMPC_EMA_054_001,"Nasal cavity , "
382,73128,Nasopharynx,IMPC_EMA_055_001,"Nasopharynx , "
383,73129,Vomeronasal organ,IMPC_EMA_056_001,"Vomeronasal organ , "
384,73130,Oropharynx,IMPC_EMA_057_001,"Oropharynx , "
385,73131,Oral cavity,IMPC_EMA_058_001,"Oral cavity , "
386,73132,Optic nerve,IMPC_EMA_059_001,"Optic nerve , "
387,73133,Intraretinal space,IMPC_EMA_060_001,"Intraretinal space , "
388,73134,Hyaloid cavity,IMPC_EMA_061_001,"Hyaloid cavity , "
389,73135,Cornea,IMPC_EMA_062_001,"Cornea , "
390,73136,Lens,IMPC_EMA_063_001,"Lens , "
391,73137,Eyelids,IMPC_EMA_064_001,"Eyelids , "
392,73138,Temporal bone,IMPC_EMA_065_001,"Temporal bone , "
393,73139,Pharyngo-tympanic tube,IMPC_EMA_066_001,"Pharyngo-tympanic tube , "
394,73140,Palate,IMPC_EMA_067_001,"Palate , "
395,73141,Epiglottis,IMPC_EMA_068_001,"Epiglottis , "
396,73142,Tongue,IMPC_EMA_069_001,"Tongue , "
397,73143,Mandible,IMPC_EMA_070_001,"Mandible , "
398,73144,Lower jaw molar,IMPC_EMA_071_001,"Lower jaw molar , "
399,73145,Upper jaw molar,IMPC_EMA_072_001,"Upper jaw molar , "
400,73146,Sphenoid bone,IMPC_EMA_073_001,"Sphenoid bone , "
401,73147,Thyroid gland,IMPC_EMA_074_001,"Thyroid gland , "
402,73148,Submandibular gland,IMPC_EMA_075_001,"Submandibular gland , "
403,73149,Brown fat,IMPC_EMA_076_001,"Brown fat , "
404,73150,Vertebrae,IMPC_EMA_077_001,"Vertebrae , "
405,73151,Esophagus,IMPC_EMA_078_001,"Esophagus , "
406,73152,Clavicle,IMPC_EMA_079_001,"Clavicle , "
407,73153,Scapula,IMPC_EMA_080_001,"Scapula , "
408,73154,Ulna,IMPC_EMA_081_001,"Ulna , "
409,73155,Humerus,IMPC_EMA_082_001,"Humerus , "
410,73156,Arytenoid cartilage,IMPC_EMA_083_001,"Arytenoid cartilage , "
411,73157,Cricoid cartilage,IMPC_EMA_084_001,"Cricoid cartilage , "
412,73158,Trachea,IMPC_EMA_085_001,"Trachea , "
413,73159,Carotid artery,IMPC_EMA_086_001,"Carotid artery , "
414,73160,Thymus,IMPC_EMA_087_001,"Thymus , "
415,73161,Sternum,IMPC_EMA_088_001,"Sternum , "
416,73162,Rib,IMPC_EMA_089_001,"Rib , "
417,73163,T1 rib,IMPC_EMA_090_001,"T1 rib , "
418,73164,Vena cava,IMPC_EMA_091_001,"Vena cava , "
419,73165,Inferior vena cava,IMPC_EMA_092_001,"Inferior vena cava , "
420,73166,Superior vena cava,IMPC_EMA_093_001,"Superior vena cava , "
421,73167,Jugular vein,IMPC_EMA_094_001,"Jugular vein , "
422,73168,Ductus arteriosus,IMPC_EMA_095_001,"Ductus arteriosus , "
423,73169,Pulmonary valve,IMPC_EMA_096_001,"Pulmonary valve , "
424,73170,Pulmonary trunk,IMPC_EMA_097_001,"Pulmonary trunk , "
425,73171,Dorsal aorta,IMPC_EMA_098_001,"Dorsal aorta , "
426,73172,Ductus venosus,IMPC_EMA_099_001,"Ductus venosus , "
427,73173,Aorta,IMPC_EMA_100_001,"Aorta , "
428,73174,Aortic valve,IMPC_EMA_101_001,"Aortic valve , "
429,73175,Heart atrium,IMPC_EMA_102_001,"Heart atrium , "
430,73176,Heart ventricle,IMPC_EMA_103_001,"Heart ventricle , "
431,73177,Tricuspid valve,IMPC_EMA_104_001,"Tricuspid valve , "
432,73178,Mitral valve,IMPC_EMA_105_001,"Mitral valve , "
433,73179,Interventricular septum,IMPC_EMA_106_001,"Interventricular septum , "
434,73180,Pericardial cavity,IMPC_EMA_107_001,"Pericardial cavity , "
435,73181,Pericardium,IMPC_EMA_108_001,"Pericardium , "
436,73182,Main bronchus,IMPC_EMA_109_001,"Main bronchus , "
437,73183,Bronchus,IMPC_EMA_110_001,"Bronchus , "
438,73184,Right lung cranial lobe,IMPC_EMA_111_001,"Right lung cranial lobe , "
439,73185,Right lung middle lobe,IMPC_EMA_112_001,"Right lung middle lobe , "
440,73186,Right lung caudal lobe,IMPC_EMA_113_001,"Right lung caudal lobe , "
441,73187,Right lung accessory lobe,IMPC_EMA_114_001,"Right lung accessory lobe , "
442,73188,Left lung,IMPC_EMA_115_001,"Left lung , "
443,73189,Diaphragm,IMPC_EMA_116_001,"Diaphragm , "
444,73190,Peritoneal cavity,IMPC_EMA_117_001,"Peritoneal cavity , "
445,73191,Liver,IMPC_EMA_118_001,"Liver , "
446,73192,Liver left lobe,IMPC_EMA_119_001,"Liver left lobe , "
447,73193,Liver right lobe,IMPC_EMA_120_001,"Liver right lobe , "
448,73194,Liver caudate lobe,IMPC_EMA_121_001,"Liver caudate lobe , "
449,73195,Gallbladder,IMPC_EMA_122_001,"Gallbladder , "
450,73196,Liver lobar interzone,IMPC_EMA_123_001,"Liver lobar interzone , "
451,73197,Pancreas,IMPC_EMA_124_001,"Pancreas , "
452,73198,Stomach,IMPC_EMA_125_001,"Stomach , "
453,73199,Pyloric antrum,IMPC_EMA_126_001,"Pyloric antrum , "
454,73200,Stomach fundus,IMPC_EMA_127_001,"Stomach fundus , "
455,73201,Stomach lumen,IMPC_EMA_128_001,"Stomach lumen , "
456,73202,Small intestine,IMPC_EMA_129_001,"Small intestine , "
457,73203,Hindgut,IMPC_EMA_130_001,"Hindgut , "
458,73204,Midgut,IMPC_EMA_131_001,"Midgut , "
459,73205,Hip joint,IMPC_EMA_132_001,"Hip joint , "
460,73206,Femur,IMPC_EMA_133_001,"Femur , "
461,73207,Fibula,IMPC_EMA_134_001,"Fibula , "
462,73208,Tibia,IMPC_EMA_135_001,"Tibia , "
463,73209,Adrenal gland,IMPC_EMA_136_001,"Adrenal gland , "
464,73210,Kidney,IMPC_EMA_137_001,"Kidney , "
465,73211,Renal calyx,IMPC_EMA_138_001,"Renal calyx , "
466,73212,Bladder,IMPC_EMA_139_001,"Bladder , "
467,73213,Rectum,IMPC_EMA_140_001,"Rectum , "
468,73214,Spleen,IMPC_EMA_141_001,"Spleen , "
469,73215,Ovary,IMPC_EMA_142_001,"Ovary , "
470,73216,Testes,IMPC_EMA_143_001,"Testes , "
471,73217,Penis,IMPC_EMA_144_001,"Penis , "
472,73218,Circumventricular organ,IMPC_EMA_145_001,"Circumventricular organ , "
473,73219,Hyoid,IMPC_EMA_146_001,"Hyoid , "
474,73220,Severely dysmorphic,IMPC_EMA_147_001,"Severely dysmorphic , "
475,73221,Delayed embryonic development,IMPC_EMA_148_001,"Delayed embryonic development , "
476,73222,Annotator ID,IMPC_EMA_149_001,"Annotator ID , "
477,73223,Date of Annotation,IMPC_EMA_150_001,"Date of Annotation , "
478,17722,Response amplitude - BN,IMPC_ACS_001_001,"Response amplitude - BN response_amplitude_bn, "
479,17723,Response amplitude - PP1,IMPC_ACS_002_001,"Response amplitude - PP1 response_amplitude_pp1, "
480,17724,Response amplitude - PP2,IMPC_ACS_003_001,"Response amplitude - PP2 response_amplitude_pp2, "
481,17725,Response amplitude - PP3,IMPC_ACS_004_001,"Response amplitude - PP3 response_amplitude_pp3, "
482,17726,Response amplitude - PP4,IMPC_ACS_005_001,"Response amplitude - PP4 response_amplitude_pp4, "
483,17727,Response amplitude - S,IMPC_ACS_006_001,"Response amplitude - S response_amplitude_s, "
484,17728,Response amplitude - PP1_S,IMPC_ACS_007_001,"Response amplitude - PP1_S response_amplitude_pp1_s, "
485,17729,Response amplitude - PP2_S,IMPC_ACS_008_001,"Response amplitude - PP2_S response_amplitude_pp2_s, "
486,17730,Response amplitude - PP3_S,IMPC_ACS_009_001,"Response amplitude - PP3_S response_amplitude_pp3_s, "
487,17731,Response amplitude - PP4_S,IMPC_ACS_010_001,"Response amplitude - PP4_S response_amplitude_pp4_s, "
488,17732,Light level in chamber,IMPC_ACS_011_001,"Light level in chamber light_level_in_chamber, "
489,17733,Date and time,IMPC_ACS_012_001,"Date and time date_and_time, "
490,17734,Experimenter ID,IMPC_ACS_014_001,"Experimenter ID experimenter, "
491,17735,Startle stimulus,IMPC_ACS_015_001,"Startle stimulus startle_pulse, "
492,17736,Background noise,IMPC_ACS_016_001,"Background noise background_noise, "
493,17737,Pre-pulse stimulus 1,IMPC_ACS_017_001,"Pre-pulse stimulus 1 pre_pulse_stimulus_1, "
494,17738,Pre-pulse stimulus 2,IMPC_ACS_018_001,"Pre-pulse stimulus 2 pre_pulse_stimulus_2, "
495,17739,Pre-pulse stimulus 3,IMPC_ACS_019_001,"Pre-pulse stimulus 3 pre_pulse_stimulus_3, "
496,17740,Pre-pulse stimulus 4,IMPC_ACS_020_001,"Pre-pulse stimulus 4 pre_pulse_stimulus_4, "
497,17741,Inter-trial interval,IMPC_ACS_021_001,"Inter-trial interval inter_trial_interval, "
498,17742,Number of trials,IMPC_ACS_022_001,"Number of trials number_of_trials, "
499,17743,In-chamber adapt time,IMPC_ACS_023_001,"In-chamber adapt time in_chamber_adapt_time, "
500,17744,Stimulus order,IMPC_ACS_024_001,"Stimulus order stimulus_order, "
501,17745,Mouse chamber ID,IMPC_ACS_025_001,"Mouse chamber ID mouse_chamber_id, "
502,17746,Equipment ID,IMPC_ACS_026_001,"Equipment ID equipment_name, "
503,17747,Equipment manufacturer,IMPC_ACS_027_001,"Equipment manufacturer equipment_manufacturer, "
504,17748,Equipment model,IMPC_ACS_028_001,"Equipment model equipment_model, "
505,17749,Software version,IMPC_ACS_029_001,"Software version software_version, "
506,17750,Mouse chamber dimension,IMPC_ACS_030_001,"Mouse chamber dimension mouse_chamber_dimension, "
507,17751,Sound generator manufacturer,IMPC_ACS_031_001,"Sound generator manufacturer sound_generator, "
508,17752,Sound-proof box dimension,IMPC_ACS_032_001,"Sound-proof box dimension sound_proof_box_dimension, "
509,17753,% Pre-pulse inhibition - PPI1,IMPC_ACS_033_001,"% Pre-pulse inhibition - PPI1 _pre_pulse_inhibition_pp1, "
510,17754,% Pre-pulse inhibition - PPI2,IMPC_ACS_034_001,"% Pre-pulse inhibition - PPI2 _pre_pulse_inhibition_pp2, "
511,17755,% Pre-pulse inhibition - PPI3,IMPC_ACS_035_001,"% Pre-pulse inhibition - PPI3 _pre_pulse_inhibition_pp3, "
512,17756,% Pre-pulse inhibition - PPI4,IMPC_ACS_036_001,"% Pre-pulse inhibition - PPI4 _pre_pulse_inhibition_pp4, "
513,17757,% Pre-pulse inhibition - Global,IMPC_ACS_037_001,"% Pre-pulse inhibition - Global _pre_pulse_inhibition_global, "
514,17758,Date equipment last calibrated,IMPC_ACS_038_001,"Date equipment last calibrated , "
515,17759,Inter PP-S stimulus interval,IMPC_ACS_013_001,"Inter PP-S stimulus interval , "
516,17760,Sound generator model,IMPC_ACS_039_001,"Sound generator model , "
517,89737,Number of signals,IMPC_ECG_001_001,"Number of signals , "
518,89738,HR,IMPC_ECG_002_001,"HR NA, "
519,89739,CV,IMPC_ECG_003_001,"CV , "
520,89740,RR,IMPC_ECG_004_001,"RR , "
521,89741,PQ,IMPC_ECG_005_001,"PQ , "
522,89742,PR,IMPC_ECG_006_001,"PR , "
523,89743,QRS,IMPC_ECG_007_001,"QRS , "
524,89744,ST,IMPC_ECG_008_001,"ST , "
525,89745,HRV,IMPC_ECG_010_001,"HRV , "
526,89747,Mean SR amplitude,IMPC_ECG_012_001,"Mean SR amplitude NA, "
527,89748,Mean R amplitude,IMPC_ECG_013_001,"Mean R amplitude NA, "
528,89749,rMSSD,IMPC_ECG_014_001,"rMSSD , "
529,89750,pNN5(6>ms),IMPC_ECG_015_001,"pNN5(6>ms) NA, "
530,89751,Equipment ID,IMPC_ECG_016_001,"Equipment ID , "
531,89752,Equipment Manufacturer,IMPC_ECG_017_001,"Equipment Manufacturer , "
532,89753,Equipment Model,IMPC_ECG_018_001,"Equipment Model , "
533,89754,Anesthetic,IMPC_ECG_019_001,"Anesthetic , "
534,89755,Experimenter ID,IMPC_ECG_020_001,"Experimenter ID , "
535,89756,Noise level,IMPC_ECG_021_001,"Noise level , "
536,89757,Light level,IMPC_ECG_022_001,"Light level , "
537,89758,Date equipment last calibrated,IMPC_ECG_023_001,"Date equipment last calibrated , "
538,89759,QTc,IMPC_ECG_009_002,"QTc , "
539,89760,Analysis Software,IMPC_ECG_024_001,"Analysis Software NA, "
540,89761,Waveform Image,IMPC_ECG_025_001,"Waveform Image , "
541,89762,Waveform Image Comment,IMPC_ECG_026_001,"Waveform Image Comment Free text comment on the waveform image. Use parameterAssociation of the image parameter to link to this text., "
542,89763,Lead Configuration,IMPC_ECG_027_001,"Lead Configuration , "
543,89764,QT,IMPC_ECG_028_001,"QT , "
544,89765,QT Dispersion,IMPC_ECG_029_001,"QT Dispersion , "
545,90855,Data acquisition sampling rate,IMPC_ECG_030_001,"Data acquisition sampling rate , "
546,90856,Abnormal ECG detected,IMPC_ECG_031_001,"Abnormal ECG detected , "
547,36937,Brain,IMPC_PAT_001_002,"Brain brain, "
548,36938,Eye with optic nerve,IMPC_PAT_002_002,"Eye with optic nerve eye_with_optic_nerve, "
549,36939,Spinal cord,IMPC_PAT_003_002,"Spinal cord spinal_cord, "
550,36940,Thymus,IMPC_PAT_004_002,"Thymus thymus, "
551,36941,Thyroid,IMPC_PAT_005_002,"Thyroid thyroid, "
552,36942,Heart,IMPC_PAT_006_002,"Heart heart, "
553,36943,Trachea,IMPC_PAT_007_002,"Trachea trachea, "
554,36944,Esophagus,IMPC_PAT_008_002,"Esophagus esophagus, "
555,36945,Lung,IMPC_PAT_009_002,"Lung lung, "
556,36946,Liver,IMPC_PAT_010_002,"Liver liver, "
557,36947,Gall bladder,IMPC_PAT_011_002,"Gall bladder gall_bladder, "
558,36948,Stomach,IMPC_PAT_012_002,"Stomach stomach, "
559,36949,Small intestine,IMPC_PAT_013_002,"Small intestine small_intestine, "
560,36950,Large intestine,IMPC_PAT_014_002,"Large intestine large_intestine, "
561,36951,Pancreas,IMPC_PAT_015_002,"Pancreas pancreas, "
562,36952,Spleen,IMPC_PAT_016_002,"Spleen spleen, "
563,36953,Kidney,IMPC_PAT_017_002,"Kidney kidney, "
564,36954,Adrenal gland,IMPC_PAT_018_002,"Adrenal gland adrenal_gland, "
565,36955,Mammary gland,IMPC_PAT_019_002,"Mammary gland mammary_gland, "
566,36956,Lymph node,IMPC_PAT_020_002,"Lymph node lymph_node, "
567,36957,Skin,IMPC_PAT_021_002,"Skin skin, "
568,36958,Skeletal muscle,IMPC_PAT_022_002,"Skeletal muscle skeletal_muscle, "
