gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,parameter_name,pvalue
MGI:1920484,Snorc,C57BL,Early adult,IMPC_GEP_030_002,Edema,0.09980947
MGI:1924933,Ehmt1,C57BL,Early adult,JAX_OFD_050_001,Percentage center movement time,0.3079046
MGI:1919128,Fam83d,C50BL,Early adult,MGP_MLN_072_001,KLRG1+ Treg cells - % of CD45+,0.4303062
MGI:108429,Lpar1,C57BL,E12.5,IMPC_GEL_011_001,Embryo turning,0.5378221
MGI:97803,Ptma,C57BL,E15.5,IMPC_CSD_006_001,Coat - color - head,0.2924215
MGI:1919163,Tmem79,C57BL,Early adult,MGP_IMM_016_001,Naive CD8+ T cells - % of CD8+,0.9158946
MGI:1913721,Anp32e,C57BL,Early adult,IMPC_EYE_023_001,Optic Disc,0.5243351
MGI:2684896,Maneal,C57BL,Early adult,ESLIM_008_001_007,Transfer arousal,0.440341
MGI:103559,Sox18,C57BL,Early adult,IMPC_CSD_038_001,Trunk curl,0.8519236
MGI:1927241,Wdr12,C57BL,E9.5,IMPC_DXA_002_001,Fat mass,0.2758196
MGI:1918142,Ttll7,C57BL,Early adult,MGP_IMM_093_001,Resting CD4- NKT cells - % of CD45+,0.8435739
MGI:1918066,Rpusd2,C57BL,Early adult,IMPC_OFD_016_001,Center permanence time,0.3989418
MGI:1346086,Aplnr,C57BL,Early adult,CCP_XRY_019_001,Fusion of vertebrae,0.5287501
MGI:1915862,Ube2c,C57BL,Early adult,MGP_MLN_078_001,Total gd T cells - % of CD45+,0.1297852
MGI:2654325,Gba2,C57BL,Early adult,IMPC_CSD_061_001,Skin color - tail,0.7182733
MGI:1920199,Ccnt2,C57BL,E18.5,IMPC_ACS_006_001,Response amplitude - S,0.7478106
MGI:1913790,Fam107b,129SV,Early adult,IMPC_GEM_075_001,Delayed embryonic development,0.4279199
MGI:1201673,Shox2,C57BL,E9.5,IMPC_OFD_021_001,Number of rears - total,0.2285679
MGI:1309469,Casq2,C57BL,Early adult,IMPC_GPO_002_001,Placenta Morphology,0.09528326
MGI:1913761,Chtop,C57BL,Early adult,IMPC_IMM_014_002,Treg cells - % of live leukocytes (Panel A),0.1417523
MGI:106637,Slc30a2,C57BL,E9.5,IMPC_ABR_008_001,18kHz-evoked ABR Threshold,0.8798529
MGI:106925,Cldn11,C57BL,Early adult,IMPC_CSD_061_001,Skin color - tail,0.5205393
MGI:2444274,Cfap65,C57BL,Early adult,IMPC_CBC_017_001,Triglycerides,0.4334
MGI:1927753,Inpp5e,C57BL,E12.5,IMPC_XRY_016_001,Number of pelvic vertebrae,0.9270647
MGI:2679420,Pak6,C57BL,Early adult,ESLIM_005_001_005,Bone Mineral Content,0.8669409
MGI:107363,Stxbp1,C57BL,Early adult,IMPC_HEM_038_001,Basophil differential count,0.9469864
MGI:2442177,Pced1a,C57BL,Early adult,M-G-P_016_001_006,Mean-corpuscular-haemoglobin,0.6676386
MGI:1921735,Lrrc71,C57BL,Early adult,MGP_CSD_008_001,Startle response,0.9496556
MGI:3045320,Mgat4f,C57BL,Early adult,IMPC_EYE_027_001,Persistence of hyaloid vascular system,0.7036208
MGI:104559,Rcn1,C57BL,Early adult,IMPC_FEA_105_001,Difference in Context and Conditioning Baseline % Freezing,0.9581723
MGI:2151053,Serpinb7,C57BL,Early adult,MGP_IMM_052_001,Plasma cells - % of B2 cells,0.4383867
MGI:2135283,Igsf9,C57BL,Early adult,CCP_XRY_002_001,Zygomatic bone,0.9657186
MGI:1920199,Ccnt2,C57BL,E12.5,UCDLA_CSD_012_001,Coat - hair distribution - head,0.2977911
MGI:106925,Cldn11,C57BL,Middle aged adult,ESLIM_005_001_701,BMC/Body weight,0.65409
MGI:1931071,Sec61a2,C57BL,Early adult,IMPC_ECG_003_001,CV,0.08551174
MGI:2442704,Frrs1l,C57BL,Early adult,IMPC_ACS_006_001,Response amplitude - S,0.857348
MGI:2441837,Adgrb3,C57BL,Early adult,IMPC_GEP_030_002,Edema,0.757818
MGI:2443564,Ambra1,C57BL,E18.5,JAX_OFD_007_001,Whole arena resting time,0.9008626
MGI:1914199,Trim59,C57BL,Early adult,IMPC_ABR_004_001,6kHz-evoked ABR Threshold,0.9490241
MGI:1921263,Rftn2,C57BL,Early adult,IMPC_HEM_030_001,Neutrophil cell count,0.3340367
MGI:1913746,Ppdpf,C57BL,Early adult,JAX_PLC_001_001,Total cholesterol,0.9573307
MGI:109424,Abca4,C57BL,Early adult,IMPC_HWT_002_001,Tibia length,0.4267377
MGI:2676312,Abca12,C57BL,Early adult,IMPC_CBC_023_001,Alpha-amylase,0.2790185
MGI:1913692,Spc25,C57BL,Early adult,MGP_MLN_014_001,Resting CD8+ T cells - % of CD8+,0.2503542
MGI:1914454,Eif2s2,C57BL,E12.5,IMPC_OFD_014_001,Center distance travelled,0.7761859
MGI:1915599,Ndufs3,129SV,Early adult,IMPC_XRY_060_001,Transitional vertebrae,0.3899334
MGI:99218,Cdh4,C57BL,Early adult,IMPC_CBC_016_001,HDL-cholesterol,0.9703771
MGI:1918066,Rpusd2,C57BL,Early adult,MGP_MLN_115_001,Plasmacytoid DC - % of CD45+,0.8228181
MGI:1919471,Cimip1,C57BL,Early adult,MGP_IMM_127_001,Plasmacytoid DC - % of CD45+,0.3441224
MGI:1916428,Snx5,C57BL,Early adult,IMPC_OFD_012_001,Periphery permanence time,0.5002146
MGI:1913761,Chtop,C57BL,Early adult,MGP_IMM_093_001,Resting CD4- NKT cells - % of CD45+,0.4812267
MGI:1915247,Ddx59,C57BL,Early adult,JAX_OFD_012_001,Periphery permanence time,0.3358837
MGI:1924933,Ehmt1,C57BL,Early adult,MGP_IMM_130_001,CD11b-low cDC - % of CD45+,0.2956213
MGI:2654325,Gba2,C57BL,Early adult,M-G-P_005_001_003,Lean Mass,0.5009744
MGI:98386,Sptan1,C57BL,Early adult,IMPC_GEP_026_001,Outer ear morpholgy,0.1279118
MGI:1915247,Ddx59,C57BL,E9.5,IMPC_EYE_069_001,Left inner nuclear layer,0.3940607
MGI:2384297,Map7d1,C57BL,E12.5,IMPC_ACS_036_001,% Pre-pulse inhibition - PPI4,0.4264327
MGI:1913692,Spc25,C57BL,E9.5,IMPC_CSD_006_001,Coat - color - head,0.5618739
MGI:1921607,Efhd1,C57BL,Early adult,JAX_LDT_004_001,Dark side time spent,0.07003466
MGI:1919369,Tpx2,C57BL,Early adult,IMPC_ABR_004_001,6kHz-evoked ABR Threshold,0.9177858
MGI:104899,Mob4,C57BL,Early adult,ESLIM_011_001_001,BN startle magnitude,0.2271379
MGI:1919880,Hspa12b,C57BL,Early adult,IMPC_GEP_017_001,Facial Morphology,0.2087893
MGI:3041190,Skint7,C57BL,Early adult,CCP_XRY_018_001,Shape of vertebrae,0.5443629
MGI:108429,Lpar1,C57BL,Early adult,IMPC_GRS_011_001,Forelimb and hindlimb grip strength normalised against body weight,0.4050551
MGI:1923073,Fam227b,C57BL,Early adult,IMPC_ECG_006_001,PR,0.7537875
MGI:98397,Src,129SV,Early adult,IMPC_CSD_029_001,Activity (body position),0.6343732
MGI:1913761,Chtop,C57BL,Early adult,IMPC_EYE_026_001,Retinal Blood Vessels Pattern,0.2267601
MGI:106925,Cldn11,C57BL,Middle aged adult,MGP_IMM_076_001,Total Treg cells - % of CD45+,0.4374108
MGI:3650206,Gm12695,C57BL,Early adult,IMPC_GEO_064_001,Edema,0.9918968
MGI:104294,Tyro3,C57BL,Early adult,IMPC_HEM_008_001,Platelet count,0.5235016
MGI:1095412,Unc5c,C57BL,Late adult,IMPC_GEP_026_001,Outer ear morpholgy,0.4210635
MGI:1891259,Lrat,C57BL,Early adult,ESLIM_008_001_002,Tremor,0.6846258
MGI:2443925,Thsd7b,C57BL,Early adult,IMPC_CSD_032_001,Locomotor activity,0.1205072
MGI:95777,Gnas,129SV,Early adult,IMPC_CSD_026_001,Head morphology,0.8581016
MGI:97565,Pgm1,C57BL,Early adult,IMPC_IMM_011_002,CD4+ NKT cells - % of live leukocytes (Panel A),0.7689158
MGI:1891259,Lrat,C57BL,Early adult,IMPC_ABR_010_001,24kHz-evoked ABR Threshold,0.1548256
MGI:107171,Ppp3r2,C57BL,Early adult,CCP_XRY_062_001,Polysyndactylism,0.4767237
MGI:104516,Slc23a3,C57BL,Early adult,IMPC_OFD_021_001,Number of rears - total,0.6974508
MGI:3649135,Gm7694,C57BL,Early adult,CCP_XRY_018_001,Shape of vertebrae,0.8731221
MGI:3588202,Garin4,C57BL,Early adult,IMPC_ECG_010_001,HRV,0.4777027
MGI:1920199,Ccnt2,C57BL,E18.5,IMPC_HEM_019_001,Mean platelet volume,0.619086
MGI:1860511,Heyl,C57BL,Early adult,IMPC_EYE_012_001,Pupil Shape,0.868106
MGI:2679420,Pak6,C57BL,Early adult,IMPC_CBC_015_001,Total cholesterol,0.6287721
MGI:2140361,Slc35d1,C57BL,E12.5,IMPC_XRY_063_001,Cervical processes,0.3797483
MGI:1919880,Hspa12b,C57BL,Early adult,IMPC_CSD_030_001,Tremor,0.2526414
MGI:105383,Il18r1,C57BL,Early adult,MGP_IMM_007_001,Resting CD4+ T helper cells - % of CD4+ T helper cells,0.34376
MGI:1337072,Ier5,C57BL,Early adult,IMPC_CBC_002_001,Potassium,0.2840938
MGI:102844,Mybpc3,C57BL,Early adult,JAX_OFD_009_001,Whole arena average speed,0.8240557
MGI:1916413,Mrpl44,C57BL,Early adult,IMPC_XRY_060_001,Transitional vertebrae,0.07355706
MGI:1925835,Jade1,C57BL,Early adult,IMPC_GEL_063_001,Delayed embryonic development,0.438599
MGI:1922423,Tex38,C57BL,Early adult,IMPC_ACS_033_001,% Pre-pulse inhibition - PPI1,0.8908166
MGI:1859866,Cdc20,C57BL,E9.5,IMPC_CSD_033_001,Gait,0.5515366
MGI:97565,Pgm1,C57BL,E12.5,KMPCLA_GRS_010_001,Forelimb grip strength normalised against body weight,0.1508687
MGI:107363,Stxbp1,C57BL,E9.5,MGP_IMM_128_001,Conventional DC (cDC) - % of CD45+,0.6742373
MGI:1096385,Bcan,C57BL,Early adult,IMPC_IMM_040_002,Effector CD4+ NKT cells - % of live leukocytes (Panel A),0.9064936
MGI:1918398,Mier1,C57BL,Early adult,JAX_OFD_022_001,Percentage center time,0.06271843
MGI:2684896,Maneal,C57BL,Early adult,ESLIM_011_001_004,PP3 startle magnitude,0.0730294
MGI:102519,Cst3,C57BL,Early adult,IMPC_CBC_020_001,Fructosamine,0.2897458
MGI:2443564,Ambra1,C57BL,E12.5,IMPC_XRY_021_001,Humerus,0.4948605
MGI:1859866,Cdc20,C57BL,Early adult,IMPC_GEM_007_001,Pericardium Morphology,0.3741499
MGI:98386,Sptan1,C57BL,E15.5,IMPC_CSD_025_001,Head size,0.7034609
MGI:1095412,Unc5c,C57BL,Late adult,IMPC_GEP_011_002,Hemorrhage,0.261661
MGI:1351315,Eloa,C57BL,Early adult,ESLIM_008_001_002,Tremor,0.7366091
MGI:107341,Ctss,C57BL,Early adult,IMPC_XRY_021_001,Humerus,0.6603586
MGI:2444508,Fitm2,C57BL,E15.5,IMPC_CBC_008_001,Total bilirubin,0.51731
MGI:1913790,Fam107b,C57BL,Early adult,IMPC_DXA_005_001,Bone Mineral Content (excluding skull),0.488487
MGI:1920199,Ccnt2,C57BL,Early adult,IMPC_EYE_092_001,Retina (combined),0.6390208
MGI:1922387,Rprd2,C57BL,E12.5,MGP_MLN_080_001,Effector gd cells - % of CD45+,0.2399648
